Time(s),X(m),Y(m),Yaw(deg)
0.0000,0.0000,0.0000,0.0000
0.1003,0.0502,0.0100,0.5017
0.2007,0.1003,0.0200,1.0033
0.3010,0.1505,0.0300,1.5050
0.4013,0.2007,0.0399,2.0067
0.5017,0.2508,0.0496,2.5084
0.6020,0.3010,0.0593,3.0100
0.7023,0.3512,0.0688,3.5117
0.8027,0.4013,0.0781,4.0134
0.9030,0.4515,0.0873,4.5151
1.0033,0.5017,0.0962,5.0167
1.1037,0.5518,0.1049,5.5184
1.2040,0.6020,0.1133,6.0201
1.3043,0.6522,0.1214,6.5217
1.4047,0.7023,0.1292,7.0234
1.5050,0.7525,0.1367,7.5251
1.6054,0.8027,0.1438,8.0268
1.7057,0.8528,0.1506,8.5284
1.8060,0.9030,0.1570,9.0301
1.9064,0.9532,0.1631,9.5318
2.0067,1.0033,0.1687,10.0334
2.1070,1.0535,0.1738,10.5351
2.2074,1.1037,0.1786,11.0368
2.3077,1.1538,0.1829,11.5385
2.4080,1.2040,0.1867,12.0401
2.5084,1.2542,0.1901,12.5418
2.6087,1.3043,0.1929,13.0435
2.7090,1.3545,0.1953,13.5452
2.8094,1.4047,0.1972,14.0468
2.9097,1.4548,0.1987,14.5485
3.0100,1.5050,0.1996,15.0502
3.1104,1.5552,0.2000,15.5518
3.2107,1.6054,0.1999,16.0535
3.3110,1.6555,0.1993,16.5552
3.4114,1.7057,0.1982,17.0569
3.5117,1.7559,0.1966,17.5585
3.6120,1.8060,0.1945,18.0602
3.7124,1.8562,0.1919,18.5619
3.8127,1.9064,0.1888,19.0635
3.9130,1.9565,0.1853,19.5652
4.0134,2.0067,0.1813,20.0669
4.1137,2.0569,0.1768,20.5686
4.2140,2.1070,0.1719,21.0702
4.3144,2.1572,0.1666,21.5719
4.4147,2.2074,0.1608,22.0736
4.5151,2.2575,0.1547,22.5753
4.6154,2.3077,0.1481,23.0769
4.7157,2.3579,0.1412,23.5786
4.8161,2.4080,0.1339,24.0803
4.9164,2.4582,0.1263,24.5819
5.0167,2.5084,0.1184,25.0836
5.1171,2.5585,0.1101,25.5853
5.2174,2.6087,0.1016,26.0870
5.3177,2.6589,0.0928,26.5886
5.4181,2.7090,0.0838,27.0903
5.5184,2.7592,0.0746,27.5920
5.6187,2.8094,0.0652,28.0936
5.7191,2.8595,0.0557,28.5953
5.8194,2.9097,0.0460,29.0970
5.9197,2.9599,0.0361,29.5987
6.0201,3.0100,0.0262,30.1003
6.1204,3.0602,0.0163,30.6020
6.2207,3.1104,0.0062,31.1037
6.3211,3.1605,-0.0038,31.6054
6.4214,3.2107,-0.0138,32.1070
6.5217,3.2609,-0.0238,32.6087
6.6221,3.3110,-0.0337,33.1104
6.7224,3.3612,-0.0436,33.6120
6.8227,3.4114,-0.0533,34.1137
6.9231,3.4615,-0.0629,34.6154
7.0234,3.5117,-0.0723,35.1171
7.1237,3.5619,-0.0816,35.6187
7.2241,3.6120,-0.0907,36.1204
7.3244,3.6622,-0.0995,36.6221
7.4247,3.7124,-0.1081,37.1237
7.5251,3.7625,-0.1164,37.6254
7.6254,3.8127,-0.1244,38.1271
7.7258,3.8629,-0.1321,38.6288
7.8261,3.9130,-0.1394,39.1304
7.9264,3.9632,-0.1464,39.6321
8.0268,4.0134,-0.1531,40.1338
8.1271,4.0635,-0.1594,40.6355
8.2274,4.1137,-0.1652,41.1371
8.3278,4.1639,-0.1707,41.6388
8.4281,4.2140,-0.1757,42.1405
8.5284,4.2642,-0.1802,42.6421
8.6288,4.3144,-0.1844,43.1438
8.7291,4.3645,-0.1880,43.6455
8.8294,4.4147,-0.1912,44.1472
8.9298,4.4649,-0.1939,44.6488
9.0301,4.5151,-0.1961,45.1505
9.1304,4.5652,-0.1978,45.6522
9.2308,4.6154,-0.1991,46.1538
9.3311,4.6656,-0.1998,46.6555
9.4314,4.7157,-0.2000,47.1572
9.5318,4.7659,-0.1997,47.6589
9.6321,4.8161,-0.1989,48.1605
9.7324,4.8662,-0.1976,48.6622
9.8328,4.9164,-0.1959,49.1639
9.9331,4.9666,-0.1936,49.6656
10.0334,7.9998,2.0301,50.5749
10.1338,7.9976,2.1204,52.2995
10.2341,7.9926,2.2105,54.0241
10.3344,7.9849,2.3005,55.7487
10.4348,7.9745,2.3902,57.4734
10.5351,7.9614,2.4795,59.1980
10.6355,7.9457,2.5684,60.9226
10.7358,7.9272,2.6568,62.6472
10.8361,7.9061,2.7446,64.3719
10.9365,7.8824,2.8318,66.0965
11.0368,7.8561,2.9181,67.8211
11.1371,7.8271,3.0037,69.5457
11.2375,7.7956,3.0883,71.2703
11.3378,7.7616,3.1720,72.9950
11.4381,7.7251,3.2545,74.7196
11.5385,7.6861,3.3360,76.4442
11.6388,7.6447,3.4162,78.1688
11.7391,7.6009,3.4952,79.8935
11.8395,7.5547,3.5728,81.6181
11.9398,7.5062,3.6489,83.3427
12.0401,7.4554,3.7236,85.0673
12.1405,7.4024,3.7967,86.7919
12.2408,7.3473,3.8682,88.5166
12.3411,7.2900,3.9380,90.2412
12.4415,7.2306,4.0061,91.9658
12.5418,7.1692,4.0723,93.6904
12.6421,7.1059,4.1366,95.4150
12.7425,7.0406,4.1990,97.1397
12.8428,6.9735,4.2595,98.8643
12.9431,6.9046,4.3178,100.5889
13.0435,6.8340,4.3741,102.3135
13.1438,6.7617,4.4282,104.0382
13.2441,6.6879,4.4801,105.7628
13.3445,6.6125,4.5298,107.4874
13.4448,6.5356,4.5772,109.2120
13.5452,6.4573,4.6222,110.9366
13.6455,6.3778,4.6649,112.6613
13.7458,6.2969,4.7052,114.3859
13.8462,6.2149,4.7430,116.1105
13.9465,6.1318,4.7783,117.8351
14.0468,6.0477,4.8111,119.5598
14.1472,5.9626,4.8414,121.2844
14.2475,5.8767,4.8691,123.0090
14.3478,5.7899,4.8941,124.7336
14.4482,5.7025,4.9166,126.4582
14.5485,5.6144,4.9364,128.1829
14.6488,5.5257,4.9536,129.9075
14.7492,5.4366,4.9681,131.6321
14.8495,5.3471,4.9799,133.3567
14.9498,5.2572,4.9890,135.0814
15.0502,5.1672,4.9953,136.8060
15.1505,5.0769,4.9990,138.5306
15.2508,4.9866,5.0000,140.2552
15.3512,4.8964,4.9982,141.9798
15.4515,4.8062,4.9937,143.7045
15.5518,4.7162,4.9865,145.4291
15.6522,4.6264,4.9766,147.1537
15.7525,4.5370,4.9641,148.8783
15.8528,4.4480,4.9488,150.6030
15.9532,4.3595,4.9308,152.3276
16.0535,4.2716,4.9102,154.0522
16.1538,4.1843,4.8870,155.7768
16.2542,4.0978,4.8611,157.5014
16.3545,4.0121,4.8327,159.2261
16.4548,3.9273,4.8017,160.9507
16.5552,3.8435,4.7681,162.6753
16.6555,3.7607,4.7321,164.3999
16.7559,3.6790,4.6935,166.1246
16.8562,3.5986,4.6525,167.8492
16.9565,3.5194,4.6092,169.5738
17.0569,3.4415,4.5634,171.2984
17.1572,3.3651,4.5154,173.0230
17.2575,3.2901,4.4650,174.7477
17.3579,3.2167,4.4124,176.4723
17.4582,3.1449,4.3577,178.1969
17.5585,3.0748,4.3008,179.9215
17.6589,3.0064,4.2418,181.6462
17.7592,2.9398,4.1808,183.3708
17.8595,2.8752,4.1178,185.0954
17.9599,2.8124,4.0529,186.8200
18.0602,2.7516,3.9861,188.5446
18.1605,2.6928,3.9175,190.2693
